name,platforms,genres,publishers
Billiard: VR,PC,Sports,Elusive Team
Russian Underground: VR,PC,Action,Elusive Team
Strongmind,PC,Casual,Elusive Team
It Comes Around - A Kinetic Novel,Linux||PC||macOS,RPG||Simulation||Casual||Indie,Afterthought Studios
Chicken Invaders 5,Linux||PC||macOS,Action||Casual||Indie,InterAction studios
Ultramegon,PC,Action||Massively Multiplayer,
Mountain Trap: The Manor of Memories,PC,Casual||Indie,RunServer
Kickoff Legends,Linux||PC||macOS,Simulation||Sports||Casual||Massively Multiplayer,StudioQi
Isyium,PC,Simulation,Glenn Main
Equin: The Lantern,PC,RPG||Strategy||Indie,DXF Games
"Happy Birthday, Bernard",PC,Indie,Olly Whillans
ERR - 001,PC,Adventure||RPG,Gestmorph Games
Darkness and Flame: Born of Fire,iOS||macOS||PC,Adventure||Casual||Puzzle,FIVE-BN GAMES||FIVE-BN UK
Japanese School Life,PC,Casual||Indie,Sekai Project
Space Rift NON-VR - Episode 1,PC,Action||Adventure||Simulation,bitComposer Interactive
VEGAS Movie Studio 13 Platinum - Steam Powered,PC,,MAGIX Software
Super Blue Fighter,Linux||PC||macOS,Action||Casual||Indie,Herrero Games
JETPACK PORTER,PC,Action||Casual,G-STYLE Co
Ascension VR,PC,Strategy||Indie,Temple Gates Games
Lazerbait,PC,Strategy||Indie,Taylor Stapleton
Damage: Sadistic Butchering of Humanity,PC,Action||Adventure||Indie,Suomi-Peli
EITR,PC||Linux||macOS,Action||Adventure||RPG||Indie,Devolver Digital
Cursed,Linux||PC,Adventure||Indie,Jetdogs Studios
Street Champ VR,PC,Action||Adventure||Simulation,Zynk Software
peakvox Escape Virus HD,PC,Action||Casual||Indie,peakvox
Techwars Online,PC,Action||Strategy||Massively Multiplayer||Indie,Argus Games
ルナティックドーン レジェンドパック,PC,RPG,Degica
栄冠は君に レジェンドパック,PC,Simulation,Degica
A列車で行こう8,PC,Simulation,Degica
ルナティックドーン 前途への道標,PC,RPG,Degica
A-Train 8,PC,Simulation,Degica
ATLAS レジェンドパック,PC,Simulation,Degica
A-Train 9 V4.0: Japan Rail Simulator,PC,Simulation,Plug In Digital||Degica
Locked In VR,PC,Adventure||Indie,Immersion
ALONE IN SPACE,macOS||Linux||PC,Adventure||Educational||Puzzle,Jaroslav Pribyl||Butterflyware
EURGAVA - Fight for Haaria,PC,RPG||Strategy||Casual||Indie,Ibrahim Indra Baskara
Trials of Azra,macOS||Linux||PC,Adventure||Indie,Onion Core
Enemy,Linux||PC||macOS,RPG||Strategy||Indie,Tom Johnson
Crush Your Enemies,macOS||Android||iOS||Linux||PC||Nintendo Switch,Action||Strategy||Indie,Good Shepherd Entertainment||Gambitious Digital Entertainment||Gambitious||Vile Monarch
Subliminal Realms: The Masterpiece Collector's Edition,PC,Adventure||Casual,Big Fish Games
Congo Merc,iOS||PC||macOS,Strategy||Board Games,HexWar Games
RollerForce,PC,Action||Racing||Casual||Indie,Headtrip Games
4Team,Linux||PC||macOS,Action||Casual||Indie,Heisenberg Entertainment
The HinterLands,PC,Action||Adventure||RPG||Indie,Ackmi
Chamber 19,PC,Action||Strategy||Simulation||Casual||Indie,Deepak M.||Grant B.
Paintball 707,Linux||PC||macOS,Action||Sports||Massively Multiplayer||Indie,Agger Interactive
LaserCat,PC,Adventure||Casual||Indie,Daniel McFarline
Santa's Special Delivery,Linux||PC||macOS,Action||Indie,Cerulean Games
Candy Kingdom VR,PC,Action||Adventure||Casual||Indie,GameplaystudioVR
Pawn,PC,Adventure||Simulation||Casual,ODBear Studios
Black Sand Drift,PC,Casual||Indie,Sometimes You
Prism,macOS||PC,Action||Adventure||RPG||Casual||Indie,Lightray Games||monkey king studio
INTRUDER - WAR AREAS,PC,Action||Simulation||Indie,Play One Game Studio
Trench Run,Linux||macOS||PC,Action||Casual||Indie,Transhuman Design
Leviathan Starblade,PC,Action,Drahcir
Last Hope - Tower Defense,PC,Adventure||Strategy||Indie,JE Software
SkyTime,macOS||Linux||PC||PlayStation 4||Nintendo Switch,Action||Casual||Indie,Sometimes You
Survivor Squad: Gauntlets,Linux||PC||macOS,Action||Strategy||Indie,Endless Loop Studios
A Number's life,macOS||PC,Casual||Indie,AppGeneration
Claws & Feathers 2,PC,Casual,Buka Entertainment
Rescue Team 6 Collector's Edition,PC,Casual,Buka Entertainment
Ohr: אור,PC,Adventure||RPG||Indie,Kiss
Sacred Almanac Traces of Greed,PC||macOS,Adventure||Casual,Far Mills
Resin,PC,Action||Adventure||Indie,rinberd
Stratego - Single Player,PC,Strategy,OrangeGames
Unforgiven: Missing Memories - Child's Play,PC,Adventure||Indie,Default Interactive
The Miners,PC,Casual||Indie,Michał Głowacki
Moorhuhn schl채gt zur체ck,PC,Action||Strategy||Casual||Indie,Young Fun Studio
Paranormal,PC||macOS,Action||Adventure||Simulation||Indie,Matthew C Cohen
One Small Fire At A Time,Linux||PC||macOS,Adventure||Casual||Indie,Culture Select
Ostrich Island,Linux||PC||macOS,Adventure||RPG||Casual||Indie,MeDungeon
DATH,PC,Action||RPG||Indie,kivoro
ATOM GRRRL!!,Linux||PC||macOS,Casual||Indie,Sekai Project
Ensign-1,Linux||PC,Action||Simulation||Indie,Only Human Studios
ROBUST ROAD ROLLER,PC,Action||Casual,G-STYLE Co
Astervoid 2000,Linux||macOS||PC,Action||Casual||Indie,LREVG||Mad Capacity
Nurse Love Addiction,Nintendo Switch||PC||PS Vita,Adventure||Simulation,Degica
Game Tycoon 2,iOS||macOS||Android||Linux||PC,Strategy||Simulation||Indie,Kiss||Sunlight Games
Delicious - Emily's Message in a Bottle,macOS||PC,Adventure||Casual||Indie,Gamehouse
Grandpa's Table,Linux||PC||macOS,Casual||Indie,Kivano
MechaGore,PC||macOS,Action||Adventure||Indie,imaginite
Left Alone,PC,Action||Adventure||Indie,Volumetric Games
Strategy & Tactics: Wargame Collection,PC||macOS,Strategy,
The Food Run,Linux||PC||macOS,Action||Strategy||Casual||Indie,OtakuMaker.com
The Return Home,PC,Action||Indie,AL-GAME
VRbloX,PC,Simulation||Casual||Indie,NerdRage Studios
Blades of the Righteous,PC,Strategy||Casual||Indie,Coldwild Games||Vladimir Slav
Deios II // DEIDIA,PC||macOS,Adventure||Indie,BARCHboi
Moorhuhn: Tiger and Chicken,PC,Action||RPG||Indie,Young Fun Studio
Trouble Witches Origin - Episode1 Daughters of Amalgam,PC,Action||Indie,"Rocket-Engine Co.,Ltd."
The Jigsaw Puzzle Room,PC,Casual,MobileFusion Apps
ZombiesTown VR,PC,Action||Adventure||RPG||Indie,GMD Studio
Overpower,PC||macOS,Action||RPG||Indie,Hydrant Games
"States, Firms, & Households",PC,Strategy||Simulation||Indie,DMD 'Ware
Galactic Landing,Linux||macOS||PC,Action||Strategy||Simulation||Casual||Indie,Kobra Studio
CountDown,PC,Action||Casual||Indie,StarSystemStudios™
Tokyo Babel,PC,Adventure,MangaGamer
ReBoot,PC,Action||Indie,Georgy Topalo
Machine Learning: Episode I,PC,Action||Adventure||Indie,Singularity Lab
Red Spider2: Exiled,PC||macOS,Adventure,studio wasp
Smell Of Death,PC,Action||Indie,Alkame Games
TILE,PC,Casual||Indie,MegawattsCo
Keep Watching VR,PC,Action||Indie,NinjaDuck Games
HEBEREKE!: March! Red Army Girls' Brigade,PC,RPG||Strategy||Simulation||Indie,Henteko Doujin
Campfire: One of Us Is the Killer,PC,Casual||Indie,Abstractive Works
Whispered Secrets: The Story of Tideville Collector's Edition,PC,Adventure||Casual,Big Fish Games
GravPool,PC,Sports||Casual||Indie,TinyCrease
Block Wave VR,PC,Strategy||Casual||Indie,RLTY CHK
Resume Maker for Windows,PC,Educational,Individual Software
CV Maker for Windows,PC,Educational,Individual Software
Raptor Valley,PC,Action||Adventure||Simulation||Indie,Andrew Stout
VR Dungeon,PC,Adventure||Casual||Indie,Relative Reality Studios
Bootleg Systems,Linux||macOS||PC,Action||Indie,Neonable
The Facility,PC,Action||Adventure,PolyDigital
Skyway,Linux||PC||macOS,Action||Casual||Indie,RobProductions
Brawlderdash,PC,Sports||Indie,tso
Klang,iOS||PC,Action||Indie||Puzzle,Snow Cannon Games||Philipp Meyer
Action Alien,PC,Action||Adventure||Casual||Indie,Devdan Games
Boo Bunny Plague,PC||macOS,Action||Adventure||Indie,
MegaRats,PC,Action||Adventure||Simulation||Indie,Jam-Live
Nimble Writer,PC,,Nimble Tools
Rustbucket Rumble,Linux||macOS||PC,Action||Casual||Indie,Scrap Yard Productions
Fierce Tales: The Dog's Heart Collector's Edition,PC,Adventure||Casual,Big Fish Games
FIRMA,PC,Action||Adventure||Simulation||Indie,Think Heavy
VERLIES II,PC,Adventure||RPG||Indie,Koya Game
Guardian Arena,PC,Action,Purple Squid Games
Remembering Pearl Harbor,PC,Educational,Life VR
Spy Bugs,Linux||PC||macOS,Action||Massively Multiplayer,TheGameWall Studios
S#arp Shooter,PC,Action||Indie,Complex Infinity
Alice's Mom's Rescue,PC,Action||Adventure||Indie,OrionSoft
TransOcean 2: Rivals,PC||macOS,Strategy||Simulation,Astragon Entertainment
Amphora,PC||macOS,Adventure||Indie,Moondrop
Red Spider: Vengeance,PC||macOS,Adventure,studio wasp
Heavenly Battle,PC,Action||Adventure||Casual||Indie,Brimo Studio
The Cows Are Watching,PC,Action||Indie,SilentFuture
Unknown Fate,PC||Xbox One||PlayStation 4||Nintendo Switch,Adventure||Indie,1C Company||MARSLIT GAMES
Terminal Hacker,Linux||PC||macOS,Casual||Indie,Lord_Loej
Magical Mysteries: Path of the Sorceress,PC,Adventure||RPG||Strategy||Casual||Indie,OtakuMaker.com||Alder Games
Dominions 3: The Awakening,PC||Linux||macOS,Strategy||Indie,Illwinter Game Design
Drive on Moscow,PC||iOS||PlayStation 4||Xbox One,Action||Strategy||Board Games||Educational,Slitherine
Void Pyramid,PC,RPG,A. Hagen
PolyDome,PC,Simulation||Casual,Plan8
Santa's Christmas Solitaire,PC,Strategy||Casual,Big Fish Games
Clockwork Empires,macOS||PC,Strategy||Simulation||Indie,Gaslamp Games
The Night Christmas Ended,PC,Action||Shooter||Casual||Indie,Giant Goblin Studio
A-10 VR,PC,Action||Indie,Futuretown
Jeeboman,PC,Action||Indie,Futuretown
Killer Klownz,PC,Action||Adventure||Simulation,Peter Labick Development
Ludu,PC,Adventure||Indie,Léo-Games
XNemesis,PC,Action||Indie,XProd Games
Cursed West,PC,Action||Adventure||Indie,GoeX GameS
Fly to KUMA MAKER,PC,Action||Casual,COLOPL
Endless Night - Alpha,PC,Action||Adventure||Indie,Yerawizard
MAGIX PC Check & Tuning 2017,PC,,MAGIX Software
Caffeine,Linux||macOS||PC,Adventure||Indie,Incandescent Imaging
I and Me,PC||Xbox One||PlayStation 4||Nintendo Switch,Action||Indie,Ratalaika Games||Wish Fang
Pixel Gladiator,PlayStation 4||Nintendo Switch||Xbox One||PC,Action||Casual||Indie,Xitilon||Drageus Games
Operation KREEP,PC,Action||Indie,Magic Item Tech
Another Star,Linux||PC||macOS,RPG||Indie,Vision Riders Entertainment
World VR Competition,PC,Sports||Casual,MT Worlds
The Fastest Fist,PC,Action||Sports,Touch Art Technology
ShowdownVR,PC,Action,Frontseat Studio
Haven (2016),PC,Adventure||RPG||Indie,Cleril Calamity Studios
Historium VR - Relive the history of Bruges,PC,Adventure||Casual,Historium Bruges
CyberLink PowerDVD 16 Ultra,PC,,CyberLink||Koach Media
Blast Em!,PC||macOS,Action||Indie,Xiotex Studios
SHOWTIME 2073,Linux||PC||macOS,Action||Indie,Microids Indie
ALPAGES: THE FIVE BOOKS,PC||macOS||Linux,Action||Adventure||Indie,Microids Indie
Terror Lab,Linux||PC||macOS,Adventure||Indie,Microids Indie
BLUE REVOLVER,Linux||macOS||PC,Action||Indie,Stellar Circle
Zombie City Defense 2,macOS||Android||Linux||PC,Action||Strategy||Simulation||Indie,Mozg Labs
Sluggy's Fruit Emporium,PC,Simulation||Indie,Timothy Johnson
Mad Combat Marines,macOS||PC,Action||Casual||Indie,FreezeNova
Jet Set Knights,Xbox One||PlayStation 4||PC,Action||RPG||Arcade||Indie,FobTi interactive
Boyar,PC,Action||Adventure||RPG||Casual||Indie,Indie Dynamics
Mechatroniks Attack,PC,Action||Adventure||Indie,Ludax174
Boozy Dwarf,Linux||PC||macOS,Adventure||RPG||Indie,Mizar Games
Total Extreme Wrestling,PC,Simulation||Sports,Viva Meda
IPackThat,PC,,Piranha Bytes Distribution UG&Co KG
Space Ghost Pirate Zombie Slayer,PC,Action||Indie,Brandon Brizzi
Six Sides of the World,PC||Nintendo Switch,Action||Adventure||Casual||Indie,Talking About Media||Dolores Entertainment
Hero's Song,macOS||PC,Action||RPG||Simulation,Pixelmage Games
A Wizard's Lizard: Soul Thief,PC||macOS,Action||RPG||Indie,Lost Decade Games
Crate Punks,PC,Action||Indie,Skypeak
Dark Tales: Edgar Allan Poe's The Masque of the Red Death Collector's Edition,PC,Adventure||Casual,Big Fish Games
After The End: The Harvest,PC,Action||Adventure||RPG||Indie,Black Shell Media
Guardian of The Demon Valley,PC,Action||Adventure||Indie,Himi Games
Found,PC,Adventure||Casual||Indie,FoundVR
Survival VR,PC,Adventure||Casual||Indie,
Turret Architect,PC,Simulation||Casual,Red Matter Studio
VRchaeology: Prologue,PC,Adventure||Casual,Play Nicely
Legionwood 1: Tale of the Two Swords,PC,RPG||Casual,Dark Gaia Studios
CRAPPY ZOMBIE GAME,PC,Action||Indie,CRAPPY ZOMBIE GAME STUDIO
TV Trouble,PC,Indie,zerofiftyone
A Chair in a Room: Greenwater,PC||PlayStation 4,Adventure||Simulation||Indie,Wolf & Wood Interactive
The Wire Loop Game VR,PC,Casual,MobileFusion Apps
Counter Agents,PC,Casual||Indie,Counter_Agents_Team
Crewsaders,PC||macOS,Action||Indie,
Legend of Moros,PC,RPG||Strategy||Indie,Cannibal Interactive
Gunjitsu,PC||macOS,Action||Indie,Beatnik Games
Space Cat,iOS||PC||macOS,Action||Adventure||Arcade||Casual||Indie,INFORMATION SOLUTIONS GROUP||GammaLateral||argagonky
The Final Take,iOS||macOS||Android||Linux||PC,Action||Adventure||Simulation||Indie,Forever Entertainment
XLR,PC,Action||Strategy||Simulation||Indie,Metaware
Soviet City,PC,Strategy||Simulation||Indie,chickeninthecornstudio
Megamagic: Wizards of the Neon Age,Linux||PC||macOS,Action||Adventure||RPG||Strategy||Indie,BeautiFun Games
Colony,PC,Simulation||Casual,Varitech
Garlock Online,PC,Action||Strategy||Massively Multiplayer||Indie,HellconX™
Save the Furries,PC||Wii,Casual,Microids Indie||SDP Games
Black Viper: Sophia's Fate,PC||macOS,Casual,Microids Indie
Demon Hunter 3: Revelation,iOS||Linux||PC||macOS||Android,Adventure||Casual||Puzzle,Artifex Mundi
Mahluk:Dark demon,PC,Action||Adventure||RPG||Indie,Serkan Bakar
Space Junk Patrol,PC,Action||Indie,Anthracite Games
Toy Plane Heroes,PC,Action||Racing||Indie,Oasis VR
Sunset's Ashes,Linux||PC||macOS,Casual||Indie,Fifth One
Abandoned Hospital VR,PC,Adventure||Indie,munsunghyun
"Dimmdrive :: Gaming Ramdrive @ 10,000+ MB/s",PC,,Dimmdrive
The Slaughter: Act One,iOS||Linux||macOS||PC,Adventure||RPG||Indie,Owl Cave||Brainchild||Alex Francois
Ascent - The Space Game,PC,Strategy||Simulation||Massively Multiplayer||Indie,Fluffy Kitten Studios
Transcripted,macOS||PC||Xbox One||PlayStation 4||Nintendo Switch,Action||Shooter||Casual||Indie,Plug In Digital||Alkemi
Better Late Than DEAD,macOS||PC,Action||Adventure||Indie,Excalibur Games
CTU: Counter Terrorism Unit,PC,Action||Strategy,Excalibur Games
European Ship Simulator,PC||macOS,Simulation,Excalibur Games
Farming World,PC||macOS,Simulation||Casual||Indie,Excalibur Games
Recovery Search & Rescue Simulation,PC,Simulation,Excalibur Games||BigSims.com
Taxi,PC,Simulation||Casual||Indie,Excalibur Games||petraguardsoftware.com
World Ship Simulator,PC||macOS,Simulation,Excalibur Games
Zoo Park,PC||macOS,Strategy||Simulation,Excalibur Games
Melancholy Republic,PC,Adventure||RPG||Indie,
Black Swan,PC,Adventure||Casual,Shaman Games Studio
Existentia,PC,Adventure||Indie,SmartHart Games
Demolish & Build 2017,PC,Simulation,PlayWay S.A.inc
Draco Dux,PC,Action||Adventure||Indie,BraveDev
Crazy Saloon VR,PC,Action||Simulation,Monsieur K
The Electric Shocktopus,Linux||PC||macOS,Action||Simulation||Educational||Indie||Platformer,TestTubeGames
REALITY,PC,Adventure||Indie,Grey Reality Studios
Take Thy Throne,PC,Action||Adventure||Strategy||Casual||Massively Multiplayer||Indie,Charyb Games
Star-Twine,PC,Strategy||Indie,Eric Billingsley
Time Rifters,PC||macOS,Action||Casual||Indie,
TEOT - The End OF Tomorrow,PC,Action||Adventure||RPG||Strategy||Simulation||Casual,Edsenses Creative Co
One Giant Leap,PC,Action||Adventure||Racing,Sylvan Studios
Flamebreak,Linux||PC||macOS,Action||RPG||Indie,Nimbly Games
Max Stern,Linux||macOS||PC,Action||Adventure||Indie,
RollerGirls From Beyond,PC,Action||Adventure||Indie,Stonepunk Studios
Avadon 3: The Warborn,PC||macOS,Adventure||RPG||Strategy||Indie,Spiderweb Software
Stargazer Christmas,PC,Adventure||RPG||Casual||Indie,John Wizard
The Last Dream: Developer's Edition,macOS||PC,Adventure||Casual||Indie||Puzzle,Specialbit Studio
Jeklynn Heights,PC,Action||Adventure||Casual||Indie,Vex Studios
Ghostship Aftermath,PC,Action||Adventure||Indie,MAG Studios
Dark Eden,PC,RPG||Massively Multiplayer,SOFTON ENTERTAINMENT
The Archetype,PC,Adventure,The Mundi Project Game Studios
PANIC at Multiverse High!,Linux||PC||macOS,Adventure||RPG||Casual||Indie,DoubleBear Productions
The Land of Eyas,PC,Action||Arcade||Indie,Rising Star Games||Happy Square Productions
Campaign Clicker,iOS||PC,Action||Casual||Indie,Springloaded||Springloaded Pte
Delicious - Emily's Christmas Carol,macOS||Android||PC,Adventure||Casual||Indie,Gamehouse
Fabulous - Angela's Fashion Fever,PC,Adventure||Simulation||Casual||Indie,Gamehouse
New York Mysteries: High Voltage,PC||macOS,Adventure||Casual,FIVE-BN GAMES
Conquest of Elysium 4,Linux||PC||macOS,Strategy||Indie,Illwinter Game Design
Our Wonderful World,Linux||PC,Casual||Indie,White Rabbit Games
Delicious - Emily's New Beginning,PC||macOS,Adventure||Casual||Indie,Gamehouse
National Zombie Park,PC,Action||Indie,Paper Games
Seven Seas Solitaire,macOS||iOS||PC,Strategy||Board Games||Casual||Card||Indie,Anawiki Games||Roman Budzowski
The Mystery of a Lost Planet,PC,Adventure||Casual,AlikArt Studio
Header Goal VR: Being Axel Rix,PC,Action||Simulation||Sports||Indie,Codemodeon
123 Slaughter Me Street,PC,Action||Indie,Impulse Game Studios
Marmoset Toolbag 2,PC||macOS,,Marmoset
F-16 Multirole Fighter,PC,Simulation,THQ Nordic||NovaLogic
Breaking Bones,PC,Action||Indie,Duplicator Studio
NotCoD,PC,Action||Casual||Indie,NotGames
Memory of a Broken Dimension,Linux||macOS||PC,Adventure||Simulation||Indie,OUTBOUNDS
Incandescent,PC,Action||Indie,Stephen Crabb
Wolfsong,PC,Adventure||RPG||Casual||Indie,Lorestrome
Jewel Quest Seven Seas Collector's Edition,PC||macOS,Casual,iWin
"Love, Guitars, and the Nashville Skyline",Linux||PC,Casual||Indie,Sekai Project
Dreamcage Escape,PC||Android,Adventure||Casual||Indie||Puzzle,Big Loop Studios
Dynetzzle Extended,PC,Casual||Indie,Vishnu Vadakke Pariyarath
Machina of the Planet Tree -Planet Ruler,PC,RPG||Indie,Sekai Project
Tobari and the Night of the Curious Moon,Linux||PC,Adventure||Indie,Sekai Project
Forget Me Not: My Organic Garden,PC||macOS,Simulation||Indie,AGM PLAYISM
Anomalies,PC,Simulation||Casual||Indie,Michael Klaus Schmidt
Video blogger Story,PC,Simulation,5Wolf
Hex Phase,PC,Casual||Indie,Self
Heart and Seoul,Linux||PC||macOS,Simulation||Casual,Sapphire Dragon Productions
Ground Breakers,Linux||PC||macOS,Strategy||Indie,UnitedIndie
Bubble Labs VR,PC,Simulation||Casual,Kishan Emens
CrazyCars3D,Linux||macOS||PC,Action||Adventure||Simulation||Racing||Casual||Indie,Anea_Duo_Dev||Galina Ananeva
Euclidean,PC,Action||Casual||Indie,AAD Productions
Julai,PC,Action||Simulation||Casual||Indie,Gennady Guryanov
Angels That Kill,Linux||PC||macOS,Adventure||Casual||Indie,Rising Sun Interactive
Battles of Norghan,PC,RPG||Strategy||Indie,Mitorah Games
Way of the Red,PC,Action||Adventure||Indie||Platformer,Corey Hardman
Sector Zero,PC||macOS,Action||Adventure||Indie,Andrii Vintsevych
XMODULE,PC||macOS,Racing||Indie,G21 Studio
Liquid Pinball,iOS||PC,Arcade||Casual||Indie||Puzzle,RunServer||Alexei Garbuzenko
Warriors & Castles,Linux||PC,Action||Indie,Estudio Raed Wulf
HandPass VR,PC,Sports||Indie,Constructive Media
Draconic Order VR,PC,Adventure||RPG||Indie,Seek n Destroy Studios
Candy Island,PC,Casual||Indie,Fun Rainbow
Lost in the Rift - Reborn,PC,Adventure||Indie,Enno Gottschalk
XenoRaptor,Xbox One||PlayStation 4||PC||Linux||macOS,Action||Indie,
FranknJohn,Linux||PC,Action||RPG||Indie,bitSmith Games
Sky Nations,PC,Adventure||Indie,Damaged
ENYO Arcade,PC,Action||Casual||Indie,www.dev-zoo.net
Island Simulator 2016,PC,Adventure||Simulation,Silverline Studios
Shrouded Tales: The Spellbound Land Collector's Edition,PC,Adventure||Casual,Big Fish Games
zTime (Danger Noodles!),PC,Action||Adventure||Casual||Indie,Hazardous Software
Elite vs. Freedom,PC,Action||Indie,AVE
Door To Door,PC,Adventure||Casual||Indie,CD Jones
DesertLand 2115,PC,Action||Indie,FutureVisionsGames
Manor of the Damned!,PC,Action||RPG||Indie,The Hideout
The Infinite Black,Linux||PC||macOS,RPG||Strategy||Massively Multiplayer||Indie,www.Spellbook.com
Talewind,PC||macOS,Action||Adventure||Indie,WindLimit
Skill Master VR -- Learn Meditation,PC,Indie,Boulder VR Studios
Sentou Gakuen: Revival,PC,RPG||Massively Multiplayer||Indie,PST Team
Danny's War,PC,Action||Indie,Savin Sergey
Fatal Gem VR(The First Match-3 VR Game),PC,Strategy||Simulation||Sports||Casual||Indie,Edougame
Zombie Camp,PC,Action||Indie,Void Dimensions
Elems,PC,Casual||Indie,Fifth Dimension Company
NeonXSZ,Linux||macOS||PC,Action||RPG||Indie,None - Independent
Runes,iOS||Linux||PC,Adventure||Casual||Indie||Puzzle,Headup Games||Levan Kuchukhidze
Awe,PC||macOS||Nintendo Switch,Adventure||Casual||Indie,BLG Publishing||Basov Bohdan
Perraw - FPS Clone War Alpha,PC,Action||Shooter||Indie,Oblion Studio
Inbound,PC,Action||Strategy||Casual||Indie,Gyoza Games||BeastMode Studios
Shrug Island - Chapter 1,PC||macOS,Adventure||Indie,Tiny Red Camel
Starfighter Arduxim,PC,Action||Simulation||Indie,Fulby Technologies
Alien Blitz,Linux||PC||macOS,Action||Indie,Jean-Baptiste Simillon
Zenza,PC||macOS,Strategy||Casual||Indie,Intropy Games
Babel: Choice,PC||macOS,Action||Indie,Sogoal
Alphadia Genesis,PlayStation 4||Xbox One||PC||Wii U,Action||Adventure||RPG,KEMCO||Natsume
Where's My Mommy?,Linux||PC||macOS,Action||Adventure||Simulation||Racing||Casual||Indie,Exquisite Games
Farming 6-in-1 bundle,PC,Casual,Buka Entertainment
MOAI 4: Terra Incognita Collector’s Edition,PC||macOS,Simulation||Casual,Buka Entertainment
Farm Frenzy Collection,PC,Adventure||Strategy||Simulation||Casual||Indie,Buka Entertainment
MOAI: Build Your Dream,PC||macOS,Strategy||Simulation||Casual,Buka Entertainment
Rescue Team,PC,Strategy||Simulation||Casual,Buka Entertainment
Marcus Level,PC||macOS,Action||Adventure||Casual,Fun4Family
PaintLab,PC,,LAB4242
BuildMoreCubes,PC,Action||Adventure||Strategy||Casual||Indie,HA Studio
Link: The Unleashed Nexus,PC,Action||Racing||Indie,Reminisce
Mech Ace Combat - Trainer Edition,PC,Action||Casual||Indie,Area 1
Aviator - Bush Pilot,PC,Action||Simulation,United Independent Entertainment
ZombieZoid Zenith,PC,Action||Adventure||Indie,Adhoc Games
Powargrid,Linux||macOS||PC,Strategy||Indie,Wee Free Studio
Fall of Freya (Alpha 1),PC,Action||Adventure||RPG||Strategy||Casual||Indie,GOTY
Project Syria,PC,Simulation||Indie,Emblematic Group
Star Trek: Starfleet Command Gold Edition,PC,Action||Strategy||Simulation,Interplay Productions
Time Tenshi 2,Linux||PC||macOS,Adventure||Simulation||Indie,Silver Cow Studio
Sonic Hunter VR,PC,Casual||Indie,Viriver Network Technology Co
Dark War,PC,Action||RPG||Casual||Massively Multiplayer,Fortune Game
Discouraged Workers TEEN,macOS||Linux||PC,Adventure||Indie,YGGDRASIL STUDIO
Rage Pig,PC,Action||Adventure||Indie,Alexander Kov
Inevitable Path,PC,Adventure||Indie,metamorpho
War of Beach,PC||macOS,Action||Strategy||Simulation,LUCKY GIRLS
Angels & Demigods - SciFi VR Visual Novel,PC||macOS,Adventure||RPG||Indie,7 Keys Studios
Siege - the card game,Linux||PC||macOS,Strategy||Indie,SIA Next Level
VoxVR,PC,,Broken Vector
Chilie,PC||Android,Adventure||Casual||Indie,Simon Says: Play!
Izanami's Dream Battle,Linux||PC,Action,Studio JAW
Preston Sterling,iOS||PC||Wii U,Adventure||Casual||Indie||Puzzle,Animation Arts Creative||MiracleBoxGames
Magic Tavern,PC,Casual||Indie,Cykyria
Malazard: The Master of Magic,PC,Action||Indie,Invictus Games
Super Button Soccer,PC||Linux||macOS,Sports,Smyowl Game Studio
Tales of Cosmos,PC||macOS,Adventure||Indie,Red Dwarf Games
Rebound,macOS||Android||Linux||PC,Action||Arcade||Indie,Bilal Itani
BowMage,PC,Action||Adventure||Simulation||Casual||Indie,Fusion Labz
Royal Detective: The Lord of Statues Collector's Edition,PC,Adventure||Casual,Big Fish Games
The Agency of Anomalies: Cinderstone Orphanage Collector's Edition,PC,Adventure||Casual,Big Fish Games
End Of The Mine,PC||macOS,Action||Adventure||Indie,Skirmish Entertainment
Beyond Power VR,PC,Action||Indie,Unparalleled Games
Robot Incursion,PC,Action,MobileFusion Apps
Credence Filter,PC,Action||Adventure||RPG||Indie,Charlie Carlo
Pixel Survivors,PC,Strategy||Simulation||Casual||Indie,Patagoniart
CDF Ghostship,PC,Action||Adventure||Indie,MAG Studios
Gathering Sky,macOS||iOS||Linux||PC||Android,Adventure||Family||Indie,A Stranger Gravity
Depth VR,PC,Action||Indie,Digital Confectioners
Mosaic: Game of Gods,PC,Casual,New Bridge Games
Rogue Contracts: Syndicate,PC,Action||Indie,Go Dark Studios
OZMAFIA!!,PC,Adventure,MangaGamer
Princess Evangile All Ages Version,PC,Adventure,MangaGamer
Vigilantes,PC||macOS||Linux,RPG||Strategy||Indie,Timeslip Softworks
Treasure of a Blizzard,Linux||PC||macOS,Adventure||Casual||Indie,Flaming Firefly
SAVAGE: The Shard of Gosen,PC,Action||Adventure||RPG||Indie,Planet Tobor
Edge Guardian,PC,Action||Indie,Hypothermic Games
Perfect Angle VR - Zen edition,PC,Strategy||Simulation||Casual||Indie,Ivanovich Games
Spells 'n' Stuff,PC,Action||Indie,Luke Haney
Project: R.E.B.O.O.T,PC,Action||Adventure||Casual||Indie,Indie Games Studio
Madness,PC,Action||Adventure||RPG||Casual||Indie,Indie Games Studio
Grapply,PC,Racing,Glyphic Productions
Suppressed,Linux||PC||macOS,Adventure||RPG||Strategy||Indie,Zephyo
UnderWater Adventure,PC,Action||Adventure||Indie,Torii-Games
Age of Farming,PC,Simulation||Indie,Evergreen
